birthDate;maritalStatusCode;sex;creliq;ocupacao;numeroDependentes;idade;credAberto;updateDateTime;companyCnpj;occupationCode;occupationDescription;frequency;amount;currency;date;amount;currency;year;availableAmount;availableAmountCurrency;blockedAmount;blockedAmountCurrency;automaticallyInvestedAmount;automaticallyInvestedAmountCurrency;contractNumber;ipocCode;productName;productType;productSubType;contractDate;disbursementDate;settlementDate;contractAmount;currency;dueDate;instalmentPeriodicity;instalmentPeriodicityAdditionalInfo;firstInstalmentDueDate;CET;amortizationScheduled;amortizationScheduledAdditionalInfo;taxType;interestRateType;taxPeriodicity;calculation;referentialRateIndexerType;referentialRateIndexerSubType;referentialRateIndexerAdditionalInfo;preFixedRate;postFixedRate;additionalInfo;feeName;feeCode;feeChargeType;feeCharge;feeAmount;feeRate;chargeType;chargeAdditionalInfo;chargeRate;
1966-07-31;UNIAO_ESTAVEL;NAO_DISPONIVEL;1;1;1;51;12;2022-04-02T04:30:38.401Z;20054327273559;CBO;01;ANUAL;1493.8058;BRL;2022-04-01T23:45:08.665Z;247294.9642;BRL;2019;77109195.6066;BRL;29883127.9379;BRL;2084987.1203;BRL;4520177212016;69803588160782795715417356148416250606780;Cheque especial;FINANCIAMENTOS_RURAIS;FINANCIAMENTO_HABITACIONAL_EXCETO_SFH;2018-01-31;2022-12-27;2026-10-19;249741.4972;BRL;2028-03-20;MENSAL;Informações adicionais sobre periodicidade;2019-04-12;0.5597;SAC;NA;NOMINAL;SIMPLES;AM;21/252;SEM_TIPO_INDEXADOR;TCR_POS;Informações adicionais;0.8531;0.0469;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;PERCENTUAL;;0.2987;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1951-08-25;UNIAO_ESTAVEL;NAO_DISPONIVEL;1;1;1;46;2;2022-04-02T08:36:03.358Z;03526446725708;RECEITA_FEDERAL;01;ANUAL;341.5342;BRL;2022-04-01T21:29:15.054Z;332360.159;BRL;2019;17944996.208;BRL;6840001.6806;BRL;1957329.2541;BRL;4142084890887;71587851766091937107984313218017754074046;Crédito com renovação simples;FINANCIAMENTOS_RURAIS;COMERCIALIZACAO;2018-01-29;2024-09-02;2026-09-04;277958.6051;BRL;2027-04-27;PERIODICIDADE_NAO_REGULAR;Informações adicionais sobre periodicidade;2020-05-29;0.069;SAM;NA;EFETIVA;COMPOSTO;AM;30/365;INDICES_PRECOS;OUTRAS_TAXAS_POS_FIXADAS;Informações adicionais;0.4852;0.2398;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;6840001.68;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1945-03-09;SEPARADO_JUDICIALMENTE;OUTRO;1;1;3;18;7;2022-04-02T13:23:54.823Z;08800636542100;RECEITA_FEDERAL;01;TRIMESTRAL;2231.1087;BRL;2022-04-02T02:21:06.505Z;436693.5786;BRL;2022;15331700.2916;BRL;44627711.8703;BRL;74007567.9036;BRL;0390920097132;66994890151594679147508191237644286217071;Crédito consignado;FINANCIAMENTOS_IMOBILIARIOS;CUSTEIO;2020-12-17;2027-02-09;2027-08-10;217356.9394;BRL;2027-10-24;SEM_PERIODICIDADE_REGULAR;Informações adicionais sobre periodicidade;2021-11-29;0.2176;SEM_SISTEMA_AMORTIZACAO;NA;EFETIVA;COMPOSTO;AM;30/365;SEM_TIPO_INDEXADOR;TCR_POS;Informações adicionais;0.5455;0.4066;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;44627711.87;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.6083;
1993-07-30;OUTRO;FEMININO;1;1;5;84;15;2022-04-01T23:56:08.137Z;23161150432058;OUTRO;01;OUTROS;3036.7067;BRL;2022-04-02T15:25:06.297Z;429717.0062;BRL;2016;77748010.4873;BRL;60738059.0292;BRL;23761745.9463;BRL;9747667763730;62907843464253906319729359406066280077581;Cartão de Crédito;FINANCIAMENTOS_RURAIS;INDUSTRIALIZACAO;2018-12-14;2026-09-23;2028-08-07;425407.4346;BRL;2029-11-07;TRIMESTRAL;Informações adicionais sobre periodicidade;2020-01-15;0.4515;SAM;NA;EFETIVA;COMPOSTO;AA;21/252;SEM_TIPO_INDEXADOR;LIBOR;Informações adicionais;0.1115;0.7123;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;PERCENTUAL;;0.6074;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.2719;
1961-12-23;SOLTEIRO;FEMININO;1;1;2;39;4;2022-04-01T22:49:40.897Z;55351670570242;CBO;01;DIARIA;4609.4672;BRL;2022-04-02T16:08:31.087Z;329542.4457;BRL;2020;51345727.7665;BRL;92190123.9762;BRL;77318772.5726;BRL;1329253335526;85325901622293397279811137496520716217318;Crédito Pessoal Consignado;FINANCIAMENTOS;AQUISICAO_BENS_VEICULOS_AUTOMOTORES;2021-09-08;2026-07-26;2028-03-03;3406.0376;BRL;2029-10-06;ANUAL;Informações adicionais sobre periodicidade;2018-01-17;0.0623;OUTROS;NA;EFETIVA;COMPOSTO;AA;21/252;POS_FIXADO;OUTROS_INDICES_PRECO;Informações adicionais;0.9914;0.69;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;FIXO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1946-08-29;VIUVO;NAO_DISPONIVEL;1;1;0;36;19;2022-04-02T18:24:48.052Z;18388540125360;RECEITA_FEDERAL;01;MENSAL;4067.9023;BRL;2022-04-02T00:04:17.741Z;295677.4986;BRL;2020;84866650.2275;BRL;81359908.4654;BRL;17897803.1927;BRL;2950383712289;02575898428170701239832704952921443135723;Crédito renovável misto ou rotativo;FINANCIAMENTOS_RURAIS;INDUSTRIALIZACAO;2018-09-19;2024-03-16;2024-06-19;245764.9214;BRL;2025-01-29;PERIODICIDADE_NAO_REGULAR;Informações adicionais sobre periodicidade;2019-06-17;0.8573;SEM_SISTEMA_AMORTIZACAO;NA;EFETIVA;COMPOSTO;AA;30/360;INDICES_PRECOS;CDI;Informações adicionais;0.326;0.3904;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;PERCENTUAL;;0.8136;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.8437;
1958-07-08;SOLTEIRO;FEMININO;1;1;1;42;14;2022-04-02T06:30:04.925Z;42322813547856;RECEITA_FEDERAL;01;DIARIA;1633.2808;BRL;2022-04-02T16:22:38.708Z;27843.5429;BRL;2020;22251436.7661;BRL;32672348.9665;BRL;52321102.524;BRL;3721661808965;10575172327634023471391524138007157787504;Crédito para compras em parcelas ou prestações;FINANCIAMENTOS_RURAIS;AQUISICAO_BENS_VEICULOS_AUTOMOTORES;2020-02-04;2020-07-13;2025-03-12;42619.1786;BRL;2026-09-04;SEM_PERIODICIDADE_REGULAR;Informações adicionais sobre periodicidade;2020-09-27;0.6689;SAM;NA;EFETIVA;SIMPLES;AA;30/360;OUTROS_INDEXADORES;OUTROS_INDICES_PRECO;Informações adicionais;0.733;0.2633;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;32672348.96;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.4091;
1993-05-01;SOLTEIRO;NAO_DISPONIVEL;1;1;3;71;8;2022-04-02T15:07:17.777Z;37602407670412;OUTRO;01;DIARIA;908.8888;BRL;2022-04-02T00:21:16.425Z;422116.9211;BRL;2017;29395966.6883;BRL;18185959.22;BRL;53063368.8827;BRL;8746162560830;97058082046251524320245530734412160577211;Cheque especial;FINANCIAMENTOS_IMOBILIARIOS;FINANCIAMENTO_HABITACIONAL_SFH;2018-09-23;2023-08-25;2028-03-02;347530.2491;BRL;2028-07-08;TRIMESTRAL;Informações adicionais sobre periodicidade;2020-06-15;0.0823;SAC;NA;EFETIVA;SIMPLES;AM;30/360;INDICES_PRECOS;TCR_POS;Informações adicionais;0.1184;0.2231;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MAXIMO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1954-09-03;CASADO;NAO_DISPONIVEL;1;1;2;75;4;2022-04-01T22:37:54.693Z;66634705141740;RECEITA_FEDERAL;01;SEMANAL;380.0538;BRL;2022-04-01T21:55:02.262Z;216312.7443;BRL;2017;65002461.1241;BRL;7610316.6232;BRL;50550282.5707;BRL;9827064952809;63857502162262861365693579871294496125843;Crédito através de intermediários;FINANCIAMENTOS;COMERCIALIZACAO;2018-04-22;2023-03-16;2025-09-17;55370.2263;BRL;2029-06-24;MENSAL;Informações adicionais sobre periodicidade;2021-05-21;0.8279;SAM;NA;EFETIVA;SIMPLES;AM;30/365;INDICES_PRECOS;TRFC_POS;Informações adicionais;0.6399;0.5608;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;FIXO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1982-12-02;SOLTEIRO;MASCULINO;1;1;0;40;14;2022-04-02T13:47:29.790Z;73366535010460;OUTRO;01;SEMANAL;2152.3411;BRL;2022-04-02T13:31:44.611Z;206371.4678;BRL;2020;9663113.7924;BRL;43052517.6121;BRL;76127358.5905;BRL;3600618099662;85550271245185431653695766761692379267708;Crédito por associação;FINANCIAMENTOS_IMOBILIARIOS;INVESTIMENTO;2021-01-17;2023-12-01;2025-03-03;78105.4218;BRL;2028-08-16;SEM_PERIODICIDADE_REGULAR;Informações adicionais sobre periodicidade;2020-03-20;0.8936;PRICE;NA;NOMINAL;SIMPLES;AM;30/360;POS_FIXADO;SEM_SUB_TIPO_INDEXADOR;Informações adicionais;0.3343;0.8256;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;43052517.61;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1997-02-19;UNIAO_ESTAVEL;OUTRO;1;1;5;20;13;2022-04-01T22:19:17.620Z;35530876732494;OUTRO;01;SEM_FREQUENCIA_RENDA_INFORMADA;4437.0586;BRL;2022-04-02T04:48:08.964Z;977206.137;BRL;2022;58771892.0078;BRL;88742295.4708;BRL;89772394.3942;BRL;6066936506818;27777488730910752422829959117444628842436;Crédito renovável misto ou rotativo;FINANCIAMENTOS_RURAIS;FINANCIAMENTO_HABITACIONAL_SFH;2021-07-20;2027-05-05;2028-12-04;871086.2324;BRL;2029-11-19;QUINZENAL;Informações adicionais sobre periodicidade;2018-12-19;0.0673;OUTROS;NA;EFETIVA;COMPOSTO;AM;30/360;POS_FIXADO;PRE_FIXADO;Informações adicionais;0.5106;0.3833;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;FIXO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.3105;
1942-03-03;SOLTEIRO;NAO_DISPONIVEL;1;1;2;32;14;2022-04-02T02:24:54.213Z;61876475130778;RECEITA_FEDERAL;01;DIARIA;3996.3594;BRL;2022-04-01T20:52:47.784Z;339921.0875;BRL;2021;4777360.1339;BRL;79929193.4992;BRL;28918074.6455;BRL;2601386338510;48017134489729574324578298992725210272336;Cartão de crédito de loja;FINANCIAMENTOS;INVESTIMENTO;2019-02-27;2025-03-02;2027-12-07;285528.0951;BRL;2028-01-03;BIMESTRAL;Informações adicionais sobre periodicidade;2018-11-14;0.8044;SEM_SISTEMA_AMORTIZACAO;NA;EFETIVA;COMPOSTO;AA;30/365;POS_FIXADO;TLP;Informações adicionais;0.8015;0.6148;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;MINIMO;79929193.5;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1978-04-01;OUTRO;NAO_DISPONIVEL;1;1;1;29;17;2022-04-02T09:37:30.921Z;00761882535133;CBO;01;SEM_FREQUENCIA_RENDA_INFORMADA;3509.8149;BRL;2022-04-02T00:59:50.813Z;365253.3218;BRL;2021;20766899.547;BRL;70199277.5262;BRL;48173288.6192;BRL;1838226024880;15180781401739470287969306048537917979969;Crédito através de intermediários;FINANCIAMENTOS_RURAIS;AQUISICAO_BENS_VEICULOS_AUTOMOTORES;2019-12-05;2025-10-28;2027-02-28;846023.9257;BRL;2028-12-20;TRIMESTRAL;Informações adicionais sobre periodicidade;2018-09-17;0.6458;OUTROS;NA;NOMINAL;COMPOSTO;AA;30/360;POS_FIXADO;TR_TBF;Informações adicionais;0.7287;0.4843;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;70199277.53;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1986-11-25;CASADO;OUTRO;1;1;2;33;9;2022-04-02T01:20:50.029Z;17072310413621;OUTRO;01;QUINZENAL;3345.4856;BRL;2022-04-02T05:56:39.876Z;592494.2429;BRL;2021;51681517.5996;BRL;66913020.3074;BRL;94696789.857;BRL;5246110326844;07898039549687052324836617089112483488448;Crédito consignado;FINANCIAMENTOS_IMOBILIARIOS;COMERCIALIZACAO;2020-09-04;2027-08-12;2027-11-13;85436.3582;BRL;2029-07-02;SEMANAL;Informações adicionais sobre periodicidade;2018-01-16;0.5964;SEM_SISTEMA_AMORTIZACAO;NA;NOMINAL;SIMPLES;AM;30/360;CREDITO_RURAL;TRFC_POS;Informações adicionais;0.4644;0.1316;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;FIXO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1959-01-18;CASADO;NAO_DISPONIVEL;1;1;2;42;10;2022-04-01T19:43:17.453Z;11250602700522;RECEITA_FEDERAL;01;QUINZENAL;32971.2113;BRL;2022-04-01T20:06:12.755Z;26427.3089;BRL;2020;95997730.931;BRL;29450435.674;BRL;69954209.1356;BRL;3577943612353;03674995722645559848335656393899969692141;Crédito com renovação simples;FINANCIAMENTOS_RURAIS;FINANCIAMENTO_HABITACIONAL_SFH;2020-10-18;2021-03-06;2028-12-31;295200.831;BRL;2029-04-26;OUTROS;Informações adicionais sobre periodicidade;2020-02-21;0.0704;SEM_SISTEMA_AMORTIZACAO;NA;EFETIVA;SIMPLES;AM;30/365;POS_FIXADO;IPCA;Informações adicionais;0.2372;0.8617;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;PERCENTUAL;;0.2944;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.3182;
1945-12-05;CASADO;FEMININO;1;1;0;45;3;2022-04-02T13:01:33.583Z;53364765082041;RECEITA_FEDERAL;01;SEMANAL;3480.3299;BRL;2022-04-02T15:22:41.929Z;216624.515;BRL;2020;86999424.7804;BRL;69609636.3192;BRL;58231869.7982;BRL;4112664152374;91045541656336339824259349658530674464821;Pagamentos quinzenais ou mensais;FINANCIAMENTOS;COMERCIALIZACAO;2020-04-30;2023-08-26;2025-02-21;55066.5414;BRL;2025-08-15;SEMESTRAL;Informações adicionais sobre periodicidade;2019-10-29;0.5024;PRICE;NA;EFETIVA;COMPOSTO;AA;30/360;OUTROS_INDEXADORES;TCR_PRE;Informações adicionais;0.6167;0.8284;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;PERCENTUAL;;0.6961;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1973-07-23;UNIAO_ESTAVEL;FEMININO;1;1;2;77;2;2022-04-02T01:16:44.840Z;44721480313870;CBO;01;ANUAL;3565.5562;BRL;2022-04-02T17:20:02.095Z;147458.246;BRL;2017;30724288.4074;BRL;71313991.7971;BRL;51943953.4163;BRL;0811227487613;16522074282691905847645694179465782169766;Crédito através de intermediários;FINANCIAMENTOS_IMOBILIARIOS;COMERCIALIZACAO;2020-11-07;2024-07-25;2025-11-15;236977.0012;BRL;2029-01-16;PERIODICIDADE_NAO_REGULAR;Informações adicionais sobre periodicidade;2021-03-23;0.6447;PRICE;NA;NOMINAL;COMPOSTO;AA;21/252;PRE_FIXADO;OUTROS_INDEXADORES;Informações adicionais;0.1264;0.1348;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;MAXIMO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.4091;
1968-01-29;OUTRO;MASCULINO;1;1;5;44;6;2022-04-02T02:04:07.400Z;80480716075261;CBO;01;SEM_FREQUENCIA_RENDA_INFORMADA;2404.0075;BRL;2022-04-02T10:29:16.972Z;957460.2283;BRL;2020;42514712.8514;BRL;48085342.1009;BRL;81460226.9021;BRL;3329888267466;83887083103032791119023075160279115645542;Crédito pessoal;FINANCIAMENTOS_IMOBILIARIOS;INDUSTRIALIZACAO;2019-12-04;2026-07-03;2028-10-15;260532.9563;BRL;2029-09-05;PERIODICIDADE_NAO_REGULAR;Informações adicionais sobre periodicidade;2021-05-20;0.9289;OUTROS;NA;EFETIVA;SIMPLES;AM;30/360;FLUTUANTES;SEM_SUB_TIPO_INDEXADOR;Informações adicionais;0.5945;0.1266;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MAXIMO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
