Id;creliq;idade;status_civil;ocupacao;numero_dependentes;renda_mensal;valor_patrim;valor_financ;cred_aberto
80;1;79;DIVORCIADO;1;0;3380.7816;264721.1797;202670.079;18
81;1;74;OUTRO;1;5;2397.9159;410295.1193;274231.9348;2
82;1;50;UNIAO_ESTAVEL;1;1;440.0687;199550.4381;233634.6497;13
83;1;74;UNIAO_ESTAVEL;1;4;2828.2875;417205.3085;843991.304;1
84;1;85;DIVORCIADO;1;0;2800.4023;239246.7624;111783.312;15
85;1;36;DIVORCIADO;1;0;4500.1569;266107.284;196485.8147;13
86;0;33;UNIAO_ESTAVEL;1;3;4965.3553;455765.6977;218698.2846;16
87;1;34;SOLTEIRO;1;2;4548.6931;3460285.4864;30251.8201;13
88;1;65;OUTRO;1;4;3040.8934;453934.0047;268989.2748;4
89;1;56;SOLTEIRO;1;0;1939.154;339071.6143;29979.59;5
90;1;30;OUTRO;1;2;4096.2633;79430.4198;586889.5029;13
91;0;40;SOLTEIRO;1;0;4953.9205;239040.3992;278888.7712;9
92;1;18;SEPARADO_JUDICIALMENTE;1;1;4570.1171;119538.0708;3389.6454;1
93;1;54;OUTRO;1;3;2896.5155;436799.6632;288639.0433;2
94;1;48;VIUVO;1;2;3925.7888;292736.2142;127606.4614;4
95;1;54;UNIAO_ESTAVEL;1;2;1291.8177;308279.7665;92606.2335;16
96;1;66;OUTRO;1;5;2376.1332;946045.2027;791755.2579;12
97;1;70;CASADO;0;1;4108.6703;7044179.2186;139667.3589;5
98;1;51;UNIAO_ESTAVEL;1;0;1623.0685;187.3298;234394.2931;8
99;1;72;SOLTEIRO;1;5;3612.6984;415974.0405;10402.4695;4
100;1;18;UNIAO_ESTAVEL;1;1;3355.7782;206023.1984;253588.0644;3
101;1;64;CASADO;1;3;2762.7009;476342.1796;420065.164;11
102;1;57;UNIAO_ESTAVEL;1;0;1987.7872;231300.6206;219491.3391;3
103;1;57;UNIAO_ESTAVEL;1;3;1295.4701;404734.5327;248462.0413;10
104;1;30;VIUVO;1;2;621.707;391334.2053;119031.5479;20
105;1;54;SOLTEIRO;1;5;1641.3267;425117.5012;274895.2685;15
106;1;75;DIVORCIADO;1;1;3472.8348;5286422.9905;38125.0813;17
107;0;41;CASADO;1;1;4955.2908;268105.0829;268851.771;8
108;1;64;SOLTEIRO;1;1;4536.0932;255009.943;59924.9725;6
109;1;70;CASADO;1;2;3176.9028;249109.2846;59176.205;1
110;1;64;DIVORCIADO;1;1;4064.2664;163670.6906;256445.4641;3
111;1;38;UNIAO_ESTAVEL;1;1;603.7889;150894.7261;838483.7307;7
112;1;70;SOLTEIRO;1;2;3537.8777;156960.4233;352974.0416;12
113;1;26;SEPARADO_JUDICIALMENTE;1;2;615.9648;63815.7811;73555.5513;8
114;1;70;SEPARADO_JUDICIALMENTE;1;2;632.0938;895910.5707;9829.401;0
115;1;67;DIVORCIADO;1;1;1457.8347;185728.2484;1800.1903;10
116;1;18;SOLTEIRO;1;5;2884.4254;495509.7426;9712.2083;8
117;1;30;OUTRO;1;0;3951.3125;19603.0532;265705.7168;20
118;1;61;OUTRO;1;0;15839.1819;98233.6957;565862.0063;20
119;1;60;UNIAO_ESTAVEL;1;3;839.4079;452936.1756;291092.5299;2
120;1;49;SEPARADO_JUDICIALMENTE;1;4;1827.7475;498439.8744;143665.5968;11
121;1;74;CASADO;1;3;3956.1134;495604.705;76404.1545;11
122;1;45;SEPARADO_JUDICIALMENTE;1;0;3981.8191;241059.7715;67250.0657;15
123;1;66;SEPARADO_JUDICIALMENTE;1;0;3564.7766;214235.4625;165843.1148;10
124;1;44;SEPARADO_JUDICIALMENTE;1;4;3488.8895;495066.6585;168564.3871;5
125;0;26;SOLTEIRO;1;1;4909.8709;97860.7934;392786.7711;20
126;0;68;SOLTEIRO;1;0;4820.4167;102535.9333;95009.4422;6
127;1;55;UNIAO_ESTAVEL;1;0;275.0683;297266.1364;232064.4036;0
128;1;34;SOLTEIRO;1;3;4460.0953;423933.307;156333.612;7
129;1;84;SOLTEIRO;1;1;2395.8209;311765.5737;26372.0579;20
130;1;51;SOLTEIRO;1;1;4657.5441;160878.3289;228939.3877;17
131;1;64;DIVORCIADO;1;1;3887.1327;567528.1201;192747.5513;2
132;1;72;UNIAO_ESTAVEL;1;2;411.3338;221296.51;96574.149;20
133;1;47;SOLTEIRO;1;3;1813.7346;471864.8197;399570.4616;20
134;1;63;OUTRO;1;1;1070.4965;311509.7721;436648.314;10
135;1;71;OUTRO;1;0;581.3851;75997.406;259031.7125;0
136;1;34;CASADO;1;0;4720.4104;149576.739;203840.7326;20
137;1;51;DIVORCIADO;1;2;53083.8721;144035.4757;229007.9827;4
138;1;75;OUTRO;1;0;4042.8835;142292.1257;285719.2933;0
139;1;28;OUTRO;1;2;934.4766;80018.5813;287729.4099;4
140;1;18;VIUVO;1;3;914.0356;468634.1461;89672.4282;19
141;1;66;VIUVO;1;0;38836.2246;139722.6573;261434.8916;11
142;1;31;UNIAO_ESTAVEL;1;1;40772.2958;57244.8371;753057.3618;10
143;1;56;VIUVO;1;4;3867.3808;457987.8488;596756.612;7
144;1;66;CASADO;1;1;1921.8843;521237.2792;283018.0654;13
145;1;62;SOLTEIRO;1;1;722.4917;44364.7945;356252.7298;19
146;1;40;CASADO;1;0;3470.1763;358027.0705;78950.1478;11
147;1;81;DIVORCIADO;1;3;961.1794;469125.5644;207685.6401;3
148;1;57;SOLTEIRO;1;0;821.9004;320370.1785;19671.0909;20
149;1;79;UNIAO_ESTAVEL;0;2;806.6589;7756695.4203;965859.5692;16
150;1;65;UNIAO_ESTAVEL;1;2;93522.4035;290197.3754;105375.1414;11
151;1;57;UNIAO_ESTAVEL;1;3;870.8879;491289.6591;487456.2402;17
152;1;39;VIUVO;1;0;33671.4812;182713.9245;206160.984;0
153;1;51;SOLTEIRO;1;1;3424.4343;81574.9401;298984.9338;13
154;1;76;OUTRO;1;5;3209.2604;453421.3642;989845.3153;2
155;1;25;DIVORCIADO;1;0;1815.5436;776376.7418;186566.9022;3
156;1;51;CASADO;1;0;4505.814;209587.9881;57053.0195;12
157;1;66;CASADO;1;0;2122.0285;296942.4463;265834.044;2
158;1;68;SEPARADO_JUDICIALMENTE;1;1;1011.407;395228.9538;169438.6823;10
159;1;37;SEPARADO_JUDICIALMENTE;1;0;1090.6098;124225.4049;244067.3639;0
160;1;56;VIUVO;1;4;2381.2904;400094.2605;148513.5171;0
161;1;33;SOLTEIRO;1;1;18727.1366;5308.3485;14070.5166;17
162;1;71;DIVORCIADO;1;2;3811.0236;157858.5302;208280.097;11
163;1;73;VIUVO;1;1;1367.593;88106.511;88512.6934;5
164;1;51;UNIAO_ESTAVEL;1;0;953.6299;43729.7951;877738.1107;7
165;0;83;OUTRO;1;2;4889.7683;23824.922;372298.6694;13
166;1;71;SOLTEIRO;1;2;858.4217;663131.1297;8961.2335;5
167;1;83;CASADO;1;1;3845.5269;55034.2718;288348.8145;11
168;1;75;VIUVO;1;0;462.9388;36787.3065;101911.4068;3
169;1;50;SOLTEIRO;1;2;556.7092;866116.8632;24440.8742;18
170;1;58;SEPARADO_JUDICIALMENTE;1;0;1697.9385;14278.1152;72159.9273;0
171;1;33;UNIAO_ESTAVEL;1;1;3341.1852;744254.6968;246107.8292;8
172;1;59;DIVORCIADO;1;0;609.531;326123.7032;235767.4511;13
173;1;59;DIVORCIADO;1;1;122.754;217633.5767;208400.4829;12
174;1;53;CASADO;1;3;3137.9967;951265.0173;62655.1917;8
175;1;19;DIVORCIADO;1;1;2088.8633;326397.8589;183294.0531;6
176;1;77;UNIAO_ESTAVEL;1;1;4673.1886;365264.0363;236212.886;18
177;1;37;CASADO;1;1;3935.4119;86348.471;56822.8993;12
178;1;77;UNIAO_ESTAVEL;1;2;747.0664;120072.903;219665.2045;18
179;1;43;UNIAO_ESTAVEL;1;2;91099.3754;189775.7884;118948.6018;0
180;0;81;CASADO;1;2;4807.5137;18259.2902;72994.4467;19
181;1;30;VIUVO;1;4;798.8863;454097.5393;122344.8244;0
182;1;84;UNIAO_ESTAVEL;1;0;2231.0754;345447.6252;130775.7287;2
183;1;28;SEPARADO_JUDICIALMENTE;1;2;3521.016;633369.6103;170074.0706;12
184;1;44;CASADO;1;2;1335.1255;124046.8238;137350.4087;16
185;1;37;DIVORCIADO;1;4;3872.4671;412170.1859;202516.0664;14
186;1;63;OUTRO;1;1;254.6994;100342.8233;257968.3244;4
187;1;65;DIVORCIADO;1;3;2851.4162;410154.1135;211619.6968;10
188;1;73;VIUVO;1;1;3020.4488;123987.927;89738.9941;9
189;1;55;SEPARADO_JUDICIALMENTE;1;2;1133.6402;321091.1326;648904.552;0
190;1;75;DIVORCIADO;1;4;3653.4201;458092.5449;213218.7958;12
191;1;39;CASADO;1;0;4329.6624;284117.2598;65949.0561;9
192;1;21;OUTRO;1;1;539.2407;238507.3069;322207.8982;9
193;1;76;SOLTEIRO;1;1;1423.32;165041.5936;28234.1844;17
194;1;63;SEPARADO_JUDICIALMENTE;1;4;43831.219;414757.5802;129074.0367;2
195;1;59;DIVORCIADO;1;1;3748.8595;79412.2392;128876.5932;18
196;1;52;CASADO;1;0;1959.6008;396855.4883;425367.2743;5
197;1;68;UNIAO_ESTAVEL;1;2;3305.0642;357451.92;270751.9948;13
198;1;47;SOLTEIRO;1;0;3269.1015;2889934.516;19063.3751;9
199;1;49;UNIAO_ESTAVEL;0;1;2835.3243;6476577.4307;890906.8219;8
200;1;69;VIUVO;1;1;51943.6448;74279.5248;172605.5107;17
201;1;66;UNIAO_ESTAVEL;1;4;2647.6878;420070.3317;461994.8558;17
202;1;85;OUTRO;1;2;408.8338;345202.9764;577062.292;6
203;1;83;DIVORCIADO;1;1;3336.1398;357945.9063;291738.3417;18
204;1;78;OUTRO;1;4;67256.6333;404108.4365;946089.053;6
205;1;81;UNIAO_ESTAVEL;1;2;20003.1768;156482.9266;974352.7429;11
206;0;78;DIVORCIADO;1;3;4995.1392;478917.9755;707195.4459;16
207;1;61;VIUVO;1;4;4240.9487;414190.5792;553320.717;13
208;1;84;OUTRO;1;0;3523.6065;511672.5991;384910.9149;1
209;1;41;DIVORCIADO;1;2;4365.6828;157076.4371;280801.2765;8
210;1;25;SEPARADO_JUDICIALMENTE;1;5;2339.461;449185.0293;16990.1325;10
211;1;84;SOLTEIRO;1;2;655.5123;281278.8298;275524.5675;11
212;1;39;SOLTEIRO;1;0;833.183;636046.764;159541.4912;15
213;1;69;DIVORCIADO;1;2;2918.6025;766271.7105;86099.3226;19
214;1;35;VIUVO;1;5;4298.1168;417332.663;204226.8097;12
215;1;33;CASADO;1;0;321.7487;283953.8471;218207.5798;5
216;1;34;CASADO;1;5;2081.1572;485911.9287;3770.8546;5
217;1;54;DIVORCIADO;1;0;39.2348;136438.8864;29500.8915;15
218;1;78;UNIAO_ESTAVEL;1;1;4661.6487;305847.2698;239502.6344;7
219;1;79;CASADO;1;0;616.3486;212833.0109;219063.2665;14
220;1;40;CASADO;1;1;2216.8669;398161.0746;69991.3601;12
221;1;83;VIUVO;0;0;676.9701;4852638.9007;115689.09;14
222;1;20;DIVORCIADO;1;2;1062.1512;270643.1763;757635.6796;14
223;1;20;DIVORCIADO;1;2;3589.0079;320798.7676;161559.4029;4
224;1;65;VIUVO;1;0;2275.4493;212928.4997;106909.2889;6
225;1;58;VIUVO;1;0;3167.9848;12073.1794;112735.7849;18
226;1;39;DIVORCIADO;1;2;1335.6365;26340.064;217420.4213;0
227;1;25;SEPARADO_JUDICIALMENTE;1;1;503.5614;99004.3136;106358.2792;12
228;1;47;VIUVO;1;2;1086.3818;167020.5287;542258.1202;9
229;0;71;CASADO;1;2;4960.2375;162870.508;94591.4066;17
230;1;81;VIUVO;1;0;166.9272;603134.9547;94922.5919;12
231;1;74;VIUVO;1;1;3027.9174;118944.9365;147031.6993;15
232;1;39;DIVORCIADO;1;0;3902.8794;317091.4237;196049.7166;11
233;1;41;OUTRO;1;1;2442.7841;759343.4287;398715.155;5
234;1;34;OUTRO;1;2;2413.7043;70315.2037;715770.1094;20
235;1;43;OUTRO;1;0;91583.6099;99780.3384;808779.0006;5
236;1;41;UNIAO_ESTAVEL;1;0;3924.5761;730490.6744;829999.8402;13
237;1;28;UNIAO_ESTAVEL;1;0;65945.3418;342981.4879;750192.1518;15
238;1;81;OUTRO;1;2;2317.7619;5948.6548;520683.9972;5
239;1;58;UNIAO_ESTAVEL;1;1;2713.1782;5062.6853;231327.774;5
240;0;40;CASADO;1;2;4836.9642;50442.6856;73929.9128;4
241;0;67;SOLTEIRO;1;0;4757.0769;14784.3648;301058.8503;15
242;1;40;DIVORCIADO;1;1;1088.1341;202625.8584;174339.0177;6
243;1;45;VIUVO;1;4;2533.7348;448859.7037;167991.0123;2
244;1;22;VIUVO;1;0;3223.8001;111879.6998;119507.6761;14
245;1;82;SOLTEIRO;1;0;63239.1322;275595.9545;217914.5591;17
246;1;18;DIVORCIADO;1;2;3651.9792;867900.4738;177224.8804;19
247;1;60;SOLTEIRO;1;2;1038.2637;718389.1629;26687.0474;20
248;1;75;SEPARADO_JUDICIALMENTE;1;0;3938.4824;240265.1485;171419.7964;10
249;1;65;DIVORCIADO;1;2;214.7051;136916.7589;191037.8754;16
250;1;61;DIVORCIADO;1;1;2111.0088;184628.6915;52549.7063;19
251;1;41;SOLTEIRO;1;0;2621.0008;82909.5282;24698.1597;13
252;1;69;SEPARADO_JUDICIALMENTE;1;3;4272.8268;490826.708;217646.4016;7
253;1;21;SEPARADO_JUDICIALMENTE;1;1;2588.5888;396934.7725;152828.8493;2
254;1;46;SEPARADO_JUDICIALMENTE;1;0;2884.0086;346912.4518;144152.4567;20
255;1;70;SOLTEIRO;1;0;1700.2119;234232.3802;322258.3817;9
256;1;19;SOLTEIRO;1;0;4171.985;264536.746;206043.1802;20
257;1;69;UNIAO_ESTAVEL;1;1;15823.7612;864533.3449;66095.8912;11
258;1;19;DIVORCIADO;1;1;148.9443;106439.4085;197185.0212;12
259;1;66;OUTRO;1;3;4361.6537;452164.5339;262752.3466;6
260;1;61;UNIAO_ESTAVEL;1;0;303.1637;34079.6458;45095.4026;14
261;0;22;DIVORCIADO;1;2;4898.1897;295773.1814;132328.1693;19
262;1;82;UNIAO_ESTAVEL;1;4;451.5514;497441.4799;230182.061;13
263;1;80;SEPARADO_JUDICIALMENTE;1;4;1194.4545;478978.8591;156959.1737;4
264;1;60;SOLTEIRO;1;1;2324.102;207030.8445;52872.6248;12
265;1;71;SOLTEIRO;1;3;339.5615;428403.6318;6981.9921;3
266;1;67;VIUVO;1;0;3617.5695;372261.5418;168618.1147;15
267;0;84;OUTRO;1;1;4848.9835;319208.7248;502268.3797;11
268;1;61;CASADO;1;2;2176.549;114357.9548;106687.6254;9
269;1;22;UNIAO_ESTAVEL;1;4;1929.4761;460739.7287;245577.3165;9
270;1;27;OUTRO;1;3;3588.9013;987049.8059;271129.1173;19
271;1;48;DIVORCIADO;1;0;1253.5805;398204.8269;191353.9103;2
272;1;49;VIUVO;1;5;2106.7638;934113.4861;75801.7738;0
273;1;52;SOLTEIRO;1;0;1712.2224;335086.1989;124896.3667;11
274;1;54;SOLTEIRO;1;0;4402.0421;212976.0977;29208.6519;8
275;1;25;OUTRO;1;2;2565.0889;342848.6056;278829.9461;20
276;1;85;SOLTEIRO;0;0;34069.5577;4192674.5351;32002.5531;10
277;1;31;DIVORCIADO;1;0;141.7295;39459.0811;757838.4911;12
278;1;59;UNIAO_ESTAVEL;1;1;2475.2591;632753.3909;62699.307;16
279;1;37;UNIAO_ESTAVEL;1;2;317.8997;206603.2443;220998.7084;3
280;1;34;VIUVO;1;1;2743.5483;75064.4318;199834.7316;20
281;1;62;VIUVO;1;0;1533.0554;359939.9495;89671.5888;13
282;1;80;VIUVO;1;0;507.5779;23503.319;511397.4512;2
283;1;72;CASADO;1;4;4248.1798;421042.115;52387.521;16
284;1;26;OUTRO;1;0;2083.6896;87035.1278;779966.2233;8
285;1;57;SEPARADO_JUDICIALMENTE;1;1;1417.976;61796.1892;169463.1394;0
286;1;76;VIUVO;1;4;4299.6268;405738.0292;246767.4722;7
287;1;33;UNIAO_ESTAVEL;1;5;2229.3666;482839.0418;178575.6264;7
288;1;75;SOLTEIRO;1;2;1813.7047;77338.7152;7571.6519;0
289;1;78;UNIAO_ESTAVEL;1;0;177.2344;352287.6355;215181.792;17
290;1;40;SOLTEIRO;1;2;3890.7977;271557.9616;8528.3294;9
291;1;69;VIUVO;1;1;1976.7338;198364.2897;115438.3045;8
292;1;40;SEPARADO_JUDICIALMENTE;1;1;3328.7639;394098.2018;143872.1194;7
293;1;62;VIUVO;1;2;3565.5784;189564.9494;129111.7931;20
294;1;64;SOLTEIRO;1;4;1814.0397;419116.1886;346911.2845;4
295;1;66;SEPARADO_JUDICIALMENTE;1;5;1950.5891;497929.6441;141556.1556;8
296;1;54;SOLTEIRO;1;2;4062.3995;36123.6251;38118.6578;13
297;1;47;SOLTEIRO;1;0;46938.0143;390825.2819;18624.7057;20
298;1;24;CASADO;1;5;1353.4691;496162.619;455345.691;1
299;1;84;OUTRO;1;1;4106.4796;386066.007;288721.5256;17
300;1;34;VIUVO;1;1;1102.2263;271015.8464;87941.9362;14
301;1;66;SEPARADO_JUDICIALMENTE;1;2;567.8955;119001.5753;671373.3713;20
302;1;49;UNIAO_ESTAVEL;1;1;3322.9243;766313.4856;222152.138;7
303;1;60;UNIAO_ESTAVEL;1;1;275.9902;381146.3268;321582.1609;14
304;1;41;VIUVO;1;2;3388.0561;848881.7208;123387.1905;3
305;1;50;VIUVO;1;4;2285.8893;974939.6135;17472.6862;8
306;1;77;SEPARADO_JUDICIALMENTE;1;0;4041.9856;6877250.9578;147421.0624;3
307;1;71;OUTRO;1;1;3176.5779;99446.7543;264804.9421;16
308;1;25;DIVORCIADO;1;0;3084.5647;138508.9801;58280.4389;4
309;1;38;SEPARADO_JUDICIALMENTE;1;2;2830.9396;698181.7448;212831.8792;9
310;1;71;DIVORCIADO;1;2;3145.3939;25314.6697;86889.4608;16
311;1;30;SEPARADO_JUDICIALMENTE;1;2;143.0734;386204.8358;140055.3866;5
312;1;76;CASADO;1;1;1707.6641;84943.3692;62735.5447;7
313;1;82;DIVORCIADO;1;2;1326.5305;85183.7432;145019.6267;4
314;0;80;UNIAO_ESTAVEL;1;0;97264.8508;240895.5008;180241.4812;19
315;1;85;VIUVO;1;0;2382.0836;362184.5024;95378.6137;20
316;1;30;SOLTEIRO;1;2;4395.71;311066.8175;241052.2053;15
317;1;30;DIVORCIADO;1;2;3304.0456;338613.056;703725.7168;1
318;1;45;CASADO;1;3;483.2153;448625.518;44199.9037;14
319;1;50;SOLTEIRO;1;0;11723.5084;895340.6905;157801.9925;20
320;1;66;VIUVO;1;2;4550.6176;61302.8514;120806.858;8
321;1;69;CASADO;1;2;4008.3391;384999.6067;117369.7341;5
322;1;19;CASADO;1;0;4069.481;382173.5764;50840.6465;20
323;1;84;OUTRO;1;2;65064.9849;242142.4738;500650.3183;10
324;1;53;VIUVO;1;0;1275.8788;174906.9089;224151.5089;13
325;1;65;DIVORCIADO;0;4;60104.3003;9574177.021;92322.5291;15
326;1;80;SOLTEIRO;1;1;3852.8002;814967.4643;11764.562;13
327;1;66;SEPARADO_JUDICIALMENTE;1;0;1167.3305;202453.3725;139762.1457;2
328;1;68;UNIAO_ESTAVEL;1;3;631.5433;491597.1073;610771.0008;1
329;1;68;OUTRO;1;0;856.6572;348633.5102;901061.1;8
330;1;69;SOLTEIRO;1;2;982.8511;131802.9751;308245.9348;5
331;1;78;CASADO;1;2;24191.3531;233375.8466;175662.1855;5
332;1;31;OUTRO;1;0;70712.3499;203397.5448;522291.9823;5
333;1;43;VIUVO;1;0;1715.8863;261275.4594;99771.3023;12
334;1;37;CASADO;1;0;4738.842;314165.8986;101002.836;14
335;1;48;DIVORCIADO;1;5;3459.6854;427145.1926;13901.0038;15
336;1;82;CASADO;1;4;2195.1378;946192.7052;69883.6084;8
337;1;55;SOLTEIRO;1;1;2274.1867;72779.891;110238.2113;20
338;1;63;SEPARADO_JUDICIALMENTE;1;4;1022.4321;429220.4249;156177.8492;5
339;1;84;SEPARADO_JUDICIALMENTE;1;0;393.8289;361826.8436;157276.5983;7
340;1;51;VIUVO;0;1;1417.0646;1985759.9272;103613.2752;6
341;1;73;OUTRO;1;2;1555.8718;781620.535;281897.2956;15
342;0;81;DIVORCIADO;1;0;4929.8706;623780.7555;36426.2634;2
343;1;34;VIUVO;1;1;4238.8614;115680.1111;259515.8925;12
344;1;33;SOLTEIRO;1;0;3280.9806;362537.0347;6513.2729;20
345;1;34;DIVORCIADO;1;1;3477.0918;140215.1825;721455.3306;9
346;1;82;SEPARADO_JUDICIALMENTE;1;3;3169.9332;474913.6204;133593.4011;3
347;1;63;UNIAO_ESTAVEL;1;2;3358.1795;346538.0448;227168.018;17
348;1;48;OUTRO;1;0;1862.7402;246718.3123;292105.5946;15
349;1;80;CASADO;0;1;2982.7154;6124706.9629;228990.367;17
350;1;60;CASADO;1;5;3875.5937;405309.7566;85694.4206;1
351;1;43;UNIAO_ESTAVEL;1;3;529.1537;490193.1299;474740.5492;9
352;1;78;SOLTEIRO;1;0;4337.9321;256515.6706;258249.8715;13
353;0;68;DIVORCIADO;1;2;4832.7479;394597.5531;776603.5451;2
354;1;72;UNIAO_ESTAVEL;1;2;2237.9639;326624.2192;240214.5815;1
355;1;67;SOLTEIRO;1;2;1394.2177;5160.2708;134097.3882;1
